Criteria,MWQI ,Weather,Sea conditions,Tides,Depth,Sampling depth,Transparency,Color,Temperature,pH,EC,Salinity,DO,SS,Phosphates - phosphorus,Total ammonia,Nitrate - nitrogen,Total coliforms,Fecal coliform bacteria ,Enterococci bacteria,Au,Zn
ดี,87,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,26.9,8.15,48.1,30.1,6.8,4.9,4.27,100,8.14,33,17,16,0.85,3.57
ดี,90,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,27,8.14,48.2,30,6.97,2.6,2.36,61,3.2,< 1.8,1,< 1,< 0.500,5.12
ดี,88,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,26.9,8.15,48.1,30.1,6.8,2.6,2.65,97,1.7,2,< 1,1,< 0.500,2.78
ดี,88, แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.2,0.5,1,เขียว,26.8,8.08,48.8,30.6,7.43,1.5,2.36,113,4.8,4.5,1,2,< 0.500,4.37
ดี,84,  แดดไม่จัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,5,"1, 4",2.5,เขียวเข้มใส,26.75,8.1,47.7,29.9,6.29,11.1,3.39,114,6.9,2,4,6,0.7,6.1
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1.2,0.5,1,เขียว,28.1,7.6,49.9,30.5,7.03,15.1,3.83,164,4.4,2,2,4,< 0.500,3.43
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,2.4,1,1.5,เขียวเข้มใส,27.6,7.8,48.8,30.3,6.43,9.6,2.06,105,3.7,< 1.8,< 1,3,< 0.500,2.65
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,5.2,"1, 4",1,เขียว,26.45,7.52,47.02,29.6,6.49,6.6,5.15,106,4.7,4.5,1,1,< 0.500,1.14
ดี,84,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1.1,0.5,0.8,น้ำตาลขุ่น,26.5,7.76,48.2,30.4,6.7,30.2,6.33,109,13,17,15,23,0.8,4.98
ดี,83,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.5,1,1,เขียว,30.2,8.26,50.3,29.1,5.85,16.6,5.6,102,1.1,79,41,14,< 0.500,3.76
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,6,"1,3,5",4,เขียวเข้มใส,28.67,8.04,50,30.3,6.64,28,< 1.00,115,5.6,1.8,1,1,< 0.500,6.76
ดี,89,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นปานกลาง,น้ำลง,6,"1,3,5",3.5,เขียวเข้มใส,28.57,7.97,49.73,30.1,6.76,2.8,< 1.00,84,2.2,< 1.8,< 1,< 1,< 0.500,7.16
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,8.8,"1,4,7",1,น้ำตาลขุ่น,27.9,8.03,48.97,30,6.51,5.2,2.5,127,5,2,< 1,3,< 0.500,7.16
ดี,87, แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,29.6,7.88,51,30.3,6.52,2.9,,135,2.7,< 1.8,< 1,< 1,< 0.500,2.8
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,3.9,"1,3",3.9,เขียวเข้มใส,28.7,8.06,50.25,30.4,6.83,11.8,3.09,146,3.5,< 1.8,< 1,< 1,< 0.500,3.28
ดี,83,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นปานกลาง,น้ำลง,5.3,"1,4",2,เขียว,28.7,7.93,49.9,30.2,6.05,6.6,16.6,166,6.4,3.7,38,118,< 0.500,2.75
ดี,82,แดดไม่จัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,0.5,เขียวอ่อน,29.4,7.82,50.1,29.9,6.55,2.9,4.12,260,8.1,3.6,5,18,< 0.500,5.86
ดี,83,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,3.6,"1,2.5",1,เขียวอ่อน,29.25,7.93,50.45,30.2,6.94,2.4,3.83,249,2.3,< 1.8,< 1,< 1,< 0.500,2.75
ดี,82,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,8.9,"1,4.5,8",2,เขียวอ่อน,29.63,7.84,50.23,29.8,6.47,4.1,3.83,250,4.7,< 1.8,< 1,2,0.6,5.07
ดี,81,แดดไม่จัด ไม่มีฝน เมฆางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อนใส,29.2,7.95,50.2,30.1,6.72,10.7,13.1,273,10.6,< 1.8,12,6,0.9,7.15
ดี,87,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1.5,1,1.5,เขียวอ่อน,30.5,7.92,51.7,30.2,6.52,3.4,1.18,120,5.9,< 1.8,1,1,< 0.500,4.61
ดี,88,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,0.5,เขียวอ่อน,30.1,7.79,51.2,30.2,6.97,3.5,2.8,123,5.7,< 1.8,< 1,< 1,< 0.500,3.87
พอใช้,68,แดดจัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.4,1,1.4,เขียวอ่อนใส,28.9,8.46,50.4,30.3,6.02,1.8,3.39,219,8.3,1300,92,230,0.6,7.27
ดี,84,แดดจัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,6.4,"1,3,5",4,เขียวอ่อน,28.8,8,50.17,30.3,6.51,3.6,1.62,133,7.3,220,23,10,< 0.500,6.65
ดี,84,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อน,29.4,8.64,50.7,30.3,6.23,2,2.36,131,8.6,< 1.8,< 1,< 1,1.1,4.01
ดี,84,แดดจัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อนใส,29.7,8.13,51,30.3,6.55,2.2,< 1.00,185,8.7,< 1.8,< 1,< 1,0.5,6.78
พอใช้,79,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,3.4,"1,3",2.5,เขียวเข้มไส,29.05,8.07,50.5,30.3,5.6,2.2,< 1.00,242,6.6,< 1.8,< 1,< 1,< 0.500,6.41
ดี,82,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อนใส,30.3,8.13,51.1,30.3,6.29,1.3,1.03,220,8.3,< 1.8,< 1,< 1,< 0.500,4.82
พอใช้,80,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,5.9,"1,3,5",4.5,เขียวเข้มใส,28.77,8.1,50.5,30.3,5.59,1,2.8,210,6.4,< 1.8,< 1,< 1,< 0.500,5.9
ดี,84,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อนใส,30.2,8.36,51.3,30.3,6.11,2.7,3.09,137,5.1,< 1.8,1,1,< 0.500,3.69
ดี,87,แดดจัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,9.4,"1,4.5,8",5,เขียวเข้มใส,29.33,8.16,50.63,30.23,6.27,2.5,1.62,106,7.6,< 1.8,< 1,< 1,< 0.500,8.08
ดี,84,แดดจัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,7.9,"1,4,7",4,เขียวอ่อน,28.87,7.97,50.3,30.33,6.58,2.1,1.33,194,5,< 1.8,1,3,< 0.500,3.22
ดี,85,แดดจัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,2.3,1,2.3,เขียวอ่อน,28.7,7.92,50.1,30.3,6.09,3.2,10.6,136,6.9,4,< 1,4,< 0.500,5.21
ดี,82,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,5.6,"1,4.5",4,เขียวอ่อน,30.05,7.71,51.6,30.45,6.69,8.7,11.5,170,3.1,170,2,< 1,< 0.500,6.73
ดี,83,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อน,30.9,7.89,52.8,30.7,7.53,16.1,49.5,156,1.3,< 1.8,< 1,3,< 0.500,4.33
พอใช้,58, แดดไม่จัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อน,29.1,7.89,49,29.3,6.52,28.9,134,197,32,330,310,60,< 0.500,3.61
ดี,87,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,2.3,1,0.5,น้ำตาล,27.9,7.25,48.1,29.5,7.4,2.1,1.33,133,10.1,< 1.8,1,< 1,< 0.500,4.77
ดี,81,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,3.5,"1, 2.5",0.5,น้ำตาล,28,7.59,48.3,29.5,6.71,2.7,19,166,14.4,330,250,102,< 0.500,3.69
พอใช้,57,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,2.2,1,1,เขียวอ่อน,27.3,7.63,48.65,30.2,6.2,9.5,22.4,246,5.3,17000,2,40,< 0.500,2.69
พอใช้,67,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,5.4,"1,4",1.5,เขียวอ่อน,27.35,7.81,48.7,30.2,6.32,1.3,< 1.00,138,8.7,2200,86,250,< 0.500,4.2
พอใช้,77,แดดไม่จัด ไม่มีฝน ไม่เมฆมาก,ทะเลเรียบ,น้ำลง,0.6,0.3,-,เขียว,28.4,7.14,49.63,30.2,4.93,2.2,2.36,151,7.2,70,43,104,< 0.500,2.83
พอใช้,52,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียว,28.1,7.56,49.4,30.2,4.2,5.1,5.45,211,5.2,">160,000",38,470,0.8,3.35
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,2,1,1,เขียว,28.4,7.55,50.1,30.5,5.92,3.2,8.39,106,5,46,16,1,0.5,2.22
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,5.2,"1, 4",3,เขียว,28.2,8.02,49.55,30.2,6.49,2.6,5.6,122,5.6,23,3,7,0.6,2.84
พอใช้,51,แดดไม่จัด  ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวใส,27.9,8.09,49.3,30.1,6.44,40.2,52,318,13.7,">160,000",2,17,1.2,5.58
ดี,83,แดดจัด  ไม่มีฝน  ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวอ่อน,27.8,8.07,49,30.2,7.15,6.6,22.6,228,8.8,4.5,7,7,0.7,3.74
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,0.5,0.3,0.5,เขียว,29.4,7.66,50.6,30.1,6.35,5,8.3,155,7.4,< 1.8,1,4,0.8,5.46
ดี,87,แดดจัด ไม่มีฝน ไม่มีเมฆ ,ทะเลเรียบ,น้ำลง,2.5,1,1.2,เขียวใส,28.4,7.93,49.7,30.3,6.42,11.4,4.71,93,5,2,2,5,0.7,3.85
ดี,89,แดดจัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,16.4,"1,8,15",2,เขียว,28.43,7.84,49.63,30.17,7.19,7.2,7.4,103,6.2,< 1.8,< 1,1,0.7,5.82
ดี,82,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,12.7,"1,6,11",2.5,เขียวเข้ม,29.87,7.83,49.87,28.97,5.68,10.8,11.2,111,27.3,70,270,380,1.2,6.06
พอใช้,79,แดดจัด  ไม่มีฝน  ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,2.3,1,1.5,น้ำตาล,28.3,8.1,49.6,30.2,6.8,6.5,32.1,216,21,330,240,39,0.5,5.14
ดี,86,แดดจัด  ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,12.3,"1,6,11",1.5,เขียวเข้ม,28.43,7.88,49.57,30.1,6.43,2.7,1.62,109,1.5,110,25,14,0.7,4.39
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นปานกลาง,น้ำลง,1.4,1,0.4,น้ำตาล,28.9,7.56,50,30.1,6.02,2.4,1.62,97,2.8,49,5,8,0.6,3.54
ดี,88,แดดไม่จัด  ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อน,29.2,7.71,50.3,30.2,6.68,2,4.57,94,2,49,74,270,< 0.500,3.3
พอใช้,78,แดดไม่จัด  ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อน,29,7.54,50.1,30.2,6.62,9.3,18.4,166,24.8,490,120,100,1.1,4.26
ดี,82,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1.7,1,0.8,เขียว,29.7,7.38,50.7,30.1,6.65,6.8,5.1,225,10,33,13,51,0.6,3.66
ดี,84,แดดจัด  ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวใส,28.4,7.81,50.2,30.5,6.95,5,2.64,220,4.1,11,11,26,0.5,5.08
พอใช้,59,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,             น้ำลง              ,4.4,"1,3.5",4.4,เขียวอ่อน,28.85,7.94,50.1,30.15,6.42,19.7,92.5,362,15.1,330,100,140,0.8,4.44
พอใช้,73,ไม่มีแดด  ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,2.3,1,2.3,เขียวอ่อน,28.5,8.04,49.6,30,5.71,8.9,48,358,3.2,6.8,3,3,0.5,3.78
พอใช้,73,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,24,"1,10,20",9,เขียวเข้มใส,28.4,8.03,49.77,30.27,6.47,32.6,34.5,347,31.7,33,25,53,0.95,5.69
พอใช้,67,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียวอ่อน,30.2,7.78,50.7,29.8,8.55,36.2,34.9,371,25.2,790,18,22,0.98,4.61
พอใช้,71,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,6.3,"1, 3, 5",0.5,น้ำตาลขุ่น,27.63,7.32,46.92,28.8,6.37,38.2,43.1,228,34.3,330,18,24,1.43,9.24
เสื่อมโทรม,40,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1.6,0.8,0.25,น้ำตาล,27.8,7.07,44.37,27,4.73,28.9,157,122,886,330,54,140,1.79,10.8
เสื่อมโทรม,46,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,2.1,1,0.5,น้ำตาล,27.7,6.87,41.66,25.2,4.65,54.1,108,49,166,240,500,160,1.6,9.37
เสื่อมโทรม,37,แดดไม่จัด  ไม่มีฝน  เมฆบางส่วน,คลื่นปานกลาง,น้ำลง,6.1,"1, 3, 5",2,น้ำตาล,27.8,7.04,36.54,21.77,5.19,84.3,179,34,88,2400,90,72,2.07,11.1
พอใช้,69,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,6,"1,3,5",1.3,เขียว,26.8,7.59,52.04,31.03,5.31,18.9,69.5,176,20.5,2,7,2,< 0.500,3.96
เสื่อมโทรมมาก,25,แดดจัด เมฆบางส่วน,คลื่นน้อย,น้ำลง,6,"1,3,5",-,เขียว,28.2,7.46,39.25,23.3,1.69,23.6,173,892,9.1,2400,530,280,0.9,7.54
พอใช้,69,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,4.8,1 และ 3.8,0.6,น้ำตาลอ่อน,26.6,7.02,38,24,5.12,47,46.1,96,25.1,330,200,130,0.8,6.97
พอใช้,64,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,3.5,1 และ 2.5,0.6,น้ำตาลอ่อน,26.4,7.06,38.1,24.2,5.24,37.2,28.1,101,37.6,1100,260,180,0.6,4.99
พอใช้,72,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,6.3,"1, 3.15 และ 5.3",0.5,เขียวแกมน้ำตาลอ่อน,27.1,7.14,38.2,24.2,5.69,24.6,64,126,30.5,17,6,6,0.6,4.13
พอใช้,66,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,4.4,1 และ 3.4,0.5,เขียวแกมน้ำตาลอ่อน,26.9,7.19,36.5,23,6.02,19,87.5,137,38.2,49,15,5,0.7,3.31
พอใช้,73,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,4.6,1 และ 3.6,0.6,เขียวแกมน้ำตาลอ่อน,27.2,7.1,37,23.6,6.06,19.8,68.6,125,27.3,4.5,2,3,0.7,4.4
พอใช้,80,แดดไม่จัด ไม่มีฝน เมฆปานกลาง,คลื่นน้อย,น้ำลง,2.3,1.15,0.85,เขียวแกมน้ำตาลอ่อน,26.4,7.07,44.5,28.6,6.08,17.3,17.9,137,7.6,< 1.8,2,4,< 0.500,4.97
ดี,81,แดดไม่จัด ไม่มีฝน เมฆปานกลาง,คลื่นน้อย,น้ำลง,3.5,1 และ 2.5,0.7,เขียวแกมน้ำตาลอ่อน,27,7.13,44.5,28.7,5.95,19,18.4,118,5.2,1.8,2,11,0.6,3.33
พอใช้,80,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,2.5,1.25,0.65,เขียวแกมน้ำตาลอ่อน,27,7.09,45,29.1,5.64,18.2,21.9,119,2.6,2,3,7,< 0.500,2.14
พอใช้,60,แดดไม่จัด ไม่มีฝน เมฆปานกลาง,คลื่นปานกลาง,น้ำลง,1,0.5,0.5,ใส,27.2,7.09,43.5,28,6.95,25.5,20.9,120,16.7,13000,6,74,0.7,3.72
ดี,84,แดดไม่จัด ไม่มีฝน เมฆมาก,คลื่นปานกลาง,น้ำลง,1,0.5,0.4,ใส,27.5,7.24,45.1,29.2,6.9,14.4,16.5,130,10.6,33,1,20,< 0.500,1.81
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.5,0.25,0.4,ใส,28.8,7.14,43.5,28,6.74,12.8,12.6,89,7.3,11,9,4,< 0.500,6.25
ดี,83,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นปานกลาง,น้ำลง,4.5,1 และ 3.5,1,ใส,28.2,7.16,44.9,29.1,6.18,9,11.9,132,5.7,< 1.8,< 1,< 1,< 0.500,3.25
ดี,87,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.5,0.25,0.4,ใส ,29.4,7.21,43.7,28.2,6.63,11.1,14.9,77,7.6,11,3,2,0.6,3.99
พอใช้,80,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1,0.5,0.8,ใส ขุ่นเล็กน้อย,25,7.38,44.8,29,7.13,7.4,12.5,101,4.1,330,37,45,< 0.500,4.41
พอใช้,60,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,2.2,1.1,1.5,ใส,28.5,7.28,44.6,28.8,6.27,3.7,20.9,218,4.8,3300,400,290,< 0.500,6.78
พอใช้,79,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.5,0.25,0.5,ใส,31.4,7.16,43.2,28.1,6.05,4.5,17.4,105,3.1,330,42,40,< 0.500,3.72
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.8,0.4,0.8,ใส,29.3,7.38,42.2,30,6.71,5.6,15,164,3.3,< 1.8,2,6,< 0.500,4.12
พอใช้,75,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.4,0.2,0.4,ใส,29.5,7.25,45.5,29.4,6.67,4.6,14.5,177,3.4,790,2,1,0.7,5.11
ดี,83,แดดไม่จัด ไม่มีฝน เมฆมาก,คลื่นน้อย,น้ำลง,7.5,"1, 3.75 และ 6.5",2,ใส ขุ่นเล็กน้อย,26.9,7.24,47.3,30.8,6.45,2.8,8.04,152,2.2,< 1.8,4,1,< 0.500,2.82
ดี,85,แดดจัด ไม่มีฝน เมฆมาก,คลื่นน้อย,น้ำลง,1,0.5,0.5,ใส,28.8,7.11,46.4,30.2,6.6,15.6,10.3,106,3,2,2,15,< 0.500,3
ดี,86,แดดจัด ไม่มีฝน เมฆมาก,คลื่นน้อย,น้ำลง,0.4,0.2,0.4,ใส,29.1,7.06,45.8,29.7,6.65,10.6,8.04,92,2.5,2,330,7000,< 0.500,2.89
ดี,82,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.5,0.25,0.2,น้ำตาลอ่อน,26,7.26,44.4,28.6,6.78,48.2,14.5,77,17.6,1.8,3,22,0.6,6.18
ดี,82,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,2.3,1.15,1,ใส ขุ่นเล็กน้อย,26.8,7.06,48.3,31.5,7.02,60.4,8.7,77,13.5,2,4,28,0.7,5.27
พอใช้,72,ฟ้าครึ้ม ไม่มีฝน เมฆมาก,คลื่นน้อย,น้ำลง,1,0.5,0.3,"น้ำตาลอ่อน
ขุ่นเล็กน้อย",23.6,7.32,45.2,29.2,7.27,26.9,14.7,3,25,1100,490,350,1.1,5.32
พอใช้,72,ฟ้าครึ้ม ไม่มีฝน เมฆมาก,คลื่นปานกลาง,น้ำลง,1,0.5,0.3,น้ำตาลอ่อน,23.6,7.29,49,31.9,7.33,46.3,9.62,12,14.6,940,270,72,0.9,7.56
พอใช้,56,ฟ้าครึ้ม ไม่มีฝน เมฆมาก,คลื่นปานกลาง,น้ำลง,2,1,0.3,"น้ำตาลอ่อน
ขุ่นเล็กน้อย",24.6,7.21,47.3,30.7,7.19,85.6,16.9,70,24.8,3300,8000,3000,1.5,9.34
เสื่อมโทรม,43,ฟ้าครึ้ม ไม่มีฝน เมฆมาก,คลื่นปานกลาง,น้ำลง,1,0.5,0.25,ใส ขุ่นเล็กน้อย,24.5,7.27,41.4,26.5,7.25,23.6,45.5,482,71.5,">160,000",39000,4700,1.3,17.4
พอใช้,71,ฟ้าครึ้ม ฝนตกเล็กน้อย เมฆมาก,คลื่นปานกลาง,น้ำลง,1,0.5,0.5,ใส มีตะกอน,21.8,7.52,48,31.1,7.73,12.2,5.27,62,24.6,790,270,60,< 0.500,6.64
ดี,83,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.6,0.8,1,ใส ขุ่นเล็กน้อย,30.1,7.27,47.2,30.7,6.22,7.6,23.6,117,15.4,130,40,76,0.6,8.54
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.4,0.2,0.3,ใส,26.4,7.11,48.3,31.4,7.11,4.8,1.84,90,4.7,4.5,1,4,< 0.500,3.45
ดี,81,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,4.6,1 และ 3.6,2,ใส ขุ่นเล็กน้อย,25.4,7.11,49.1,32,7.08,8.7,5.9,130,4.3,130,9,62,0.7,4.66
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,ใส,25.5,7.18,48.4,31.6,7.07,1.2,6.85,106,4.5,< 1.8,< 1,< 1,0.9,2.97
พอใช้,73,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,0.4,"น้ำตาลอ่อน
ขุ่นเล็กน้อย",25.3,7.2,49.2,32,7.35,11.1,8.7,152,11.5,790,250,72,< 0.500,3.89
พอใช้,80,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,4.5,1 และ 3.5,1.5,ใส ขุ่นเล็กน้อย,22.6,7.39,49.5,32.4,7.61,2,5.53,123,4.7,33,7,30,< 0.500,3.22
พอใช้,80,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,2.8,"1, 1.8",1.9,เขียว,29.15,6.78,46.63,27.8,5.28,3.8,2.64,85,6.9,< 1.8,< 1,2,1,4.01
