Criteria,MWQI ,Weather,Sea conditions,Tides,Depth,Sampling depth,Transparency,Color,Temperature,pH,EC,Salinity,DO,SS,Phosphates - phosphorus,Total ammonia,Nitrate - nitrogen,Total coliforms,Fecal coliform bacteria ,Enterococci bacteria,Au,Zn
ดี,81,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,0.6,0.3,0.6,เขียว,29.9,7.36,47.9,28.1,4.91,3.4,5.14,107,1.6,< 1.8,1,3,0.6,3.65
ดี,81,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,0.8,0.4,0.8,เขียว,29.8,7.84,47.51,27.9,4.73,2.7,1.98,112,2.6,< 1.8,< 1,2,0.6,3.13
ดี,85,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,3.7,"1, 2.7",2.5,เขียว,29.8,7.98,46.55,27.25,5.03,2.4,2.5,40,4.4,< 1.8,< 1,1,0.6,3.8
ดี,87,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,1.2,0.6,1,เขียว,30.2,7.07,46.65,27.1,6.65,5,6.59,50,4.5,130,41,26,0.8,6.7
พอใช้,77,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นปานกลาง,น้ำลง,0.8,0.4,0.8,ฟ้า,29.9,6.81,47.5,27.8,4.85,2.4,5.3,99,3.8,46,20,98,0.5,9.44
พอใช้,80,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นปานกลาง,น้ำลง,1.4,0.7,1,เขียว,29.8,8,45.32,27.1,4.66,14.3,6.77,92,3,< 1.8,2,8,0.7,7.21
ดี,85,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,3.1,"1, 2.1",1.8,เขียว,29.2,7.64,45.15,26.65,5.92,8.2,6.33,106,1.2,4.5,12,5,0.725,6.06
ดี,87,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,1,0.5,0.5,น้ำตาล,30,8.05,34.07,19.2,6.78,11,4.7,109,4.1,17,23,46,0.9,11.8
ดี,87,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,3.5,"1, 2.5",1.9,เขียว,28.45,7.92,33.54,19.55,6.54,5.5,14.4,114,1.4,< 1.8,< 1,< 1,< 0.500,4.42
ดี,89,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,1.7,"0.7, 1",0.9,น้ำตาล,28,8.06,23.76,13.5,7.85,23.2,10.8,88,5.9,4.5,2,2,1.2,7.47
ดี,88,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,1.7,"0.7, 1",1,น้ำตาล,27.9,7.95,23.8,13.55,7.81,22.9,14.3,107,3.9,7.8,2,2,0.6,5.82
พอใช้,79,ฟ้าครึ้ม ฝนตกเล็กน้อย มีเมฆมาก,คลื่นน้อย,น้ำลง,3.4,"1, 2.4",1,น้ำตาล,27.2,7.76,30,17.55,5.34,16.3,23.2,121,4.5,130,108,53,0.6,6.32
ดี,82,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นน้อย,น้ำลง,2.2,"1, 1.2",1.2,เขียว,28.55,8.07,35.71,20.9,5.11,7.6,16.8,110,1.3,11,1,16,< 0.500,7.61
พอใช้,79,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นน้อย,น้ำลง,2.6,"1, 1.6",1.2,เขียว,28.15,7.56,36.2,21.3,4.79,9.4,7.4,129,5,< 1.8,< 1,3,0.5,6.23
ดีมาก,93,แดดไม่จัด ไม่มีฝน มีเมฆมาก,คลื่นปานกลาง,น้ำลง,3,"1, 2",2,เขียว,28.3,7.98,46.32,27.8,6.89,6.3,8.04,< 2.00,3.5,17,13,11,0.7,6.44
พอใช้,72,แดดไม่จัด ไม่มีฝน มีเมฆมาก,คลื่นปานกลาง,น้ำลง,1,0.5,1,เขียว,27.5,7.16,43.54,26.6,4.36,8.8,15.8,45,4.1,700,400,230,0.7,3.1
พอใช้,63,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นน้อย,น้ำลง,2.9,"1, 1.9",2.3,เขียว,28.55,7.19,45.65,27.4,5.28,3.1,2.11,112,3.9,2400,550,290,< 0.500,6.08
พอใช้,77,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,เขียว,29.2,7.74,42.88,25.2,5.7,3.2,16.9,186,20.5,330,450,220,< 0.500,5.17
ดี,87,แดดจัด ไม่มีฝน มีเมฆบางส่วน ,คลื่นปานกลาง,น้ำลง,1,0.5,1,ฟ้า,29.9,7.77,45.41,26.2,5.75,< 1.0,1.98,70,5.7,4,< 1,9,0.5,4.26
ดี,82,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นปานกลาง,น้ำลง,1.2,0.6,1.2,ฟ้าเขียว,30,7.85,46.5,27.1,5.52,2.1,3.03,114,33.3,< 1.8,< 1,16,< 0.500,6.42
ดีมาก,91,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลี่นจัด,น้ำลง,2,1,2,เขียว,29.3,8.03,46.3,27.4,7.56,< 1.0,1.05,95,4.8,7.8,< 1,16,0.6,4.84
ดี,83,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นจัด,น้ำลง,8.7,"1, 4.35, 7.7",6,เขียว,29.27,8,45.59,27.1,6.77,1.2,1.05,237,6.2,< 1.8,< 1,8,1.1,11.8
พอใช้,77,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นน้อย,น้ำลง,0.5,0.25,0.5,เขียว,31.1,7.99,45.04,25.7,6,8.1,12.9,160,3.5,490,96,160,0.6,4.8
ดี,85,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,0.7,0.35,0.7,เขียว,29.4,7.92,45.43,26.7,5.78,3.1,1.05,122,5.8,4.5,3,17,0.6,5.48
ดี,82,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นปานกลาง,น้ำลง,5.9,"1, 2.95, 4.9",3,ฟ้า,27.83,8.07,46.78,28.53,5.46,2.4,2.36,96,3.9,130,30,23,< 0.500,5.45
พอใช้,78,แดดไม่จัด ไม่มีฝน มีเมฆปานกลาง,คลื่นจัด,น้ำลง,2.8,"1, 1.8",1.8,เขียว,27,7.4,45.24,28.1,4.86,6.3,3.83,109,6.1,130,38,84,< 0.500,4.08
ดี,82,ไม่มีแดด ไม่มีฝน มีเมฆมาก,คลื่นจัด,น้ำลง,1.2,0.6,0.8,เขียว,27.6,7.54,45.27,27.7,6.12,32.3,1.77,119,6.5,17,12,21,0.6,8.13
ดี,85,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นจัด,น้ำลง,1,0.5,1,เขียว,28,8.12,46.8,28.5,6.57,6.9,2.8,110,29.8,2,< 1,4,< 0.500,10.9
ดี,86,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นปานกลาง,น้ำลง,10,"1, 5, 9",2.4,ฟ้าคราม,28.47,8.13,46.99,28.3,5.78,4.2,2.06,76,9.6,< 1.8,< 1,2,< 0.500,5.68
ดี,83,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นจัด,น้ำลง,13,"1, 6.5, 12",8.5,ฟ้า,27.47,8.23,45.86,28.13,5.4,1.9,< 1.00,114,3.2,< 1.8,< 1,< 1,< 0.500,5
ดี,86,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นจัด,น้ำลง,23,"1, 10, 20, 22",9,ฟ้า,27.4,7.88,46.27,28.43,6.22,1.9,< 1.00,109,5.6,< 1.8,< 1,2,< 0.500,6.43
พอใช้,79,แดดจัด ไม่มีฝน มีเมฆปานกลาง,คลื่นน้อย,น้ำลง,5,"1, 4",1.8,เขียว,28.35,7.81,43.41,25.85,4.68,6.9,7.38,117,3.3,33,23,45,0.7,4.7
พอใช้,77,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,0.8,0.4,0.8,เขียว,28.1,7.82,44.21,26.7,4.4,8.8,5.14,90,1.4,170,100,100,0.7,7.26
พอใช้,74,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,0.8,0.4,0.6,เขียว,28.5,7.71,41.12,24.7,4.52,8.9,19.6,98,79.9,6.1,26,10,0.5,7.04
พอใช้,72,แดดจัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,3,"1, 2",1.1,เขียว,28.15,7.19,43.58,26.15,6.04,7.5,18.8,192,20.3,790,590,88,0.8,4.79
เสื่อมโทรม,49,แดดไม่จัด ฝนตกเล็กน้อย มีเมฆมาก,คลื่นน้อย,น้ำลง,3.5,"1, 2.5",0.45,น้ำตาล,27.65,5.81,6.65,4.15,4.21,56,32.1,142,20.1,1300,570,500,< 0.500,4.91
พอใช้,76,แดดจัด ไม่มีฝน มีเมฆมาก,คลื่นจัด,น้ำลง,3.8,"1, 2.8",1.5,เขียว,28.2,7.16,38.76,23.2,5.23,24.5,10.7,114,48.4,11,24,19,0.8,12.9
พอใช้,64,แดดจัด ไม่มีฝน เมฆปานกลาง,คลื่นจัด,น้ำลง,0.9,0.4,0.1,น้ำตาล,28.6,7.81,42.9,27.8,7.71,206,3.29,180,24.1,330,320,36,1.3,10.3
พอใช้,79,แดดจัด ไม่มีฝน เมฆปานกลาง,คลื่นจัด,น้ำลง,0.7,0.4,0.2,เขียว,29.8,7.89,39.7,25.7,7.6,100,5.4,148,6.3,13,2,19,0.9,12.8
พอใช้,80,ไม่มีแดด ไม่มีฝน เมฆมาก,คลื่นปานกลาง,น้ำลง,10,"1.0, 5.0, 9.0",3,เขียว,28.3,8.08,36.3,23.1,7.47,4,6.85,173,21.3,490,41,5,0.6,9.73
พอใช้,72,แดดจัด ไม่มีฝน เมฆปานกลาง,คลื่นปานกลาง,น้ำลง,0.8,0.4,0.5,เขียว,28.7,8.08,36.6,23.3,7.66,13,4.08,212,30.8,1100,200,530,0.5,3.37
ดี,85,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นจัด,น้ำลง,4.8,"1, 3.8",0.5,น้ำตาล,27.8,8.03,43.9,28.6,7.6,40.3,2.64,107,8.7,49,30,22,0.7,8.05
ดี,87,ไม่มีแดด ไม่มีฝน มีเมฆปานกลาง,คลื่นน้อย,น้ำลง,0.5,0.25,0.5,เขียว,27.9,8.14,42.6,27.4,7.41,23.4,3.16,101,3.9,9.3,8,6,0.5,3.65
พอใช้,61,แดดไม่จัด ไม่มีฝน เมฆปานกลาง,คลื่นน้อย,น้ำลง,4,"1,3",1.5,เขียว,27.8,7.93,39.3,25.1,6.05,9.7,51.9,413,90.3,490,300,420,0.6,3.94
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.7,0.35,0.7,ใส,30.3,8.1,45.4,29.4,6.1,10.6,4.48,84,1.5,< 1.8,< 1,3,0.5,4.63
ดี,86,แดดจัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.6,0.3,0.6,ใส,30.6,7.97,46.6,30.3,6.23,3.9,1.32,107,1.8,< 1.8,< 1,3,< 0.500,2.82
ดี,86,แดดไม่จัด ไม่มีฝน มีเมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,0.5,เขียว,29.5,8.05,45.1,29.2,6.11,5.7,2.11,108,4,< 1.8,< 1,1,< 0.500,3.95
ดี,85,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,6,"1,3,5",2.5,ใส,29.2,8.08,43.8,28.3,6.37,4.5,1.32,93,4.4,240,39,270,< 0.500,3.04
ดี,87,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,0.5,ใส,29.8,8.1,46.4,30.1,6.61,6.6,1.19,103,4.1,14,< 1,3,< 0.500,3.43
ดี,87,แดดจัด ไม่มีฝน เมฆส่วน,คลื่นน้อย,น้ำลง,1,0.5,0.5,ใส,30.9,7.99,45,29.2,6.37,15.3,2.5,61,9.3,< 1.8,< 1,1,,2.91
ดี,84,แดดจัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,1.2,0.6,0.6,ใส,30.7,7.95,44,28.4,6.17,5.4,2.64,122,9.3,49,14,46,< 0.500,3.57
ดี,87,แดดจัด ไม่มีฝน เมฆมาก,ทะเลเรียบ,น้ำลง,1.2,0.6,0.6,เขียว,30.3,7.8,43.4,27.9,6.31,5.1,1.19,93,5.8,6.8,4,6,< 0.500,4.13
ดี,82,แดดจัด ไม่มีฝน เมฆปานกลาง,ทะเลเรียบ,น้ำลง,3,"1, 2",1.6,เขียว,29.6,8.04,44.5,28.8,5.98,3.8,1.05,106,3.4,330,310,470,0.8,3.69
ดี,84,ไม่มีแดด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,0.5,ใส,27.3,8.13,44.7,28.8,6.3,11,1.84,118,11.3,49,4,53,< 0.500,2.64
ดี,88,ไม่มีแดด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,5,"1,2.5,4",2.5,ใส,27.5,8.25,45.9,29.7,6.32,3,1.58,75,3.2,< 1.8,1,190,< 0.500,4.23
ดี,86,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1.5,0.75,-,ใส,28.2,7.77,44.7,28.95,6.24,3.9,3.68,118,10.7,2,1,2,< 0.500,4.18
ดี,84,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.6,0.3,0.6,ใส,28.1,7.98,45.18,29.22,6.05,6.5,6.19,141,7.8,< 1.8,< 1,1,< 0.500,2.41
พอใช้,69,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,ใส,27,8.23,45.04,29.04,6,7,3.1,166,9.7,1300,300,14,< 0.500,6.61
ดี,87,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,0.8,0.4,0.8,ใส,28.68,8.07,45.22,29.2,6.55,2.4,6.19,124,18.8,2,2,8,< 0.500,2.82
ดี,83,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,ใส,27,7.89,45.19,29.24,6.41,8.7,7.36,154,4.1,49,14,2,< 0.500,3.51
ดี,82,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,ใส,30.15,7.94,44.61,28.28,6.12,3.7,4.71,203,10.8,< 1.8,< 1,11,< 0.500,4.74
ดี,84,ไม่มีแดด ไม่มีฝน เมฆปานกลาง,คลื่นน้อย,น้ำลง,1,0.5,1,ใส,30.73,7.95,44.65,28.9,5.94,7.3,8.98,125,5,4,2,9,< 0.500,5.62
ดี,83,แดดไม่จัด ไม่มีฝน เมฆปานกลาง,คลื่นน้อย,น้ำลง,1,0.5,0.6,ใส,30.5,8.03,45.14,29.26,6.24,8.1,6.63,161,1.6,17,5,6,< 0.500,4.92
ดี,86,แดดจัด ไม่มีฝน เมฆปานกลาง,คลื่นน้อย,น้ำลง,4,"1,3",3,ใส,27.99,8.13,47.57,30.86,6.37,2.6,2.36,119,1.6,< 1.8,< 1,1,< 0.500,4.52
ดี,82,ไม่มีแดด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,ใส,27.68,8.11,44.67,28.85,6.36,1.8,8.1,122,45.1,170,2300,110,< 0.500,4.33
ดี,86,ไม่มีแดด ไม่มีฝน ไม่มีเมฆ,คลื่นปานกลาง,น้ำลง,1,0.5,1,ใส,27.9,8.18,45.15,29.23,6.18,1,5.15,116,6.4,9.2,11,31,< 0.500,4.31
ดี,87,ไม่มีแดด ไม่มีฝน เมฆบางส่วน,'คลื่นปานกลาง,น้ำลง,1,0.5,1,ใส,27.25,8.09,44.73,28.87,6.35,1.7,2.95,95,2.9,7.8,9,6,< 0.500,3.26
ดี,87,ไม่มีแดด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,0.5,0.25,0.5,ใส,27.3,8.05,44.13,28.48,6.36,< 1.0,3.09,64,36.8,< 1.8,2,2,< 0.500,2.47
ดี,85,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,ฟ้าใส,29.9,8.14,44.36,28.63,6.41,3,4.12,167,7.5,2,3,8,< 0.500,3.03
ดี,85,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,0.8,0.4,0.8,ใส,29.9,7.9,43.53,28.05,6.63,6.3,8.39,168,14.9,11,2,6,0.8,6.79
ดี,86,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,1,ใส,29.7,8.08,44.6,28.82,6.4,3,3.39,125,1.5,< 1.8,< 1,1,< 0.500,3.56
ดี,82,แดดจัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,0.4,ขุ่น,30.6,8.22,44.48,28.68,6.58,34.8,5.01,144,2.8,< 1.8,< 1,2,0.6,4.59
ดี,86,แดดรจัด ไม่มีฝน เมฆบางส่วน,คลื่นปานกลาง,น้ำลง,9,"1,4.5,8",1.3,-,30.4,8.17,45.1,29,6.18,16.7,1.05,86,3.9,< 1.8,< 1,1,0.6,3.63
ดี,87,แดดรจัด ไม่มีฝน เมฆบางส่วน,คลื่นปานกลาง,น้ำลง,4,"1,3",1.5,ใส,31.3,8.21,45.9,29.9,6.71,7.5,1.19,86,3.4,< 1.8,< 1,< 1,0.5,4.21
ดี,87,ไม่มีแดด ไม่มีฝน เมฆปานกลาง,คลื่นปานกลาง,น้ำลง,3,"1,2",1.2,ใส,29.43,8.05,46.15,29.98,6.23,16.2,1.71,83,3.7,< 1.8,< 1,1,0.5,3.86
ดี,84,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,ใส,27.6,8.02,45.7,29.6,5.48,13,5.93,67,1.5,4.5,< 1,8,< 0.500,1.86
ดี,84,ไม่มีแดด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,2,1,1,ใส,28.3,8.04,45.6,29.5,5.83,3.3,3.56,86,3.5,130,76,46,0.64,3.09
ดี,85,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.3,0.15,0.3,ใส,28.38,8.1,44.58,28.7,6.39,23.5,1.19,115,3.7,< 1.8,1,1,0.51,5.12
พอใช้,75,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1,0.5,0.8,ใส,27.9,8.14,43.97,28.75,6.45,9.8,2.37,168,9.6,790,114,60,0.725,2.74
ดี,86,ไม่มีแดด ไม่มีเมฆ ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,0.8,0.4,0.8,ใส,27.6,8.06,44.4,28.6,5.83,2.1,2.64,91,4.8,7.8,3,4,< 0.500,2
ดี,85,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,0.3,0.15,0.3,ใส,26.8,8.19,46.1,30,6.27,< 1.0,2.24,89,2.7,130,2,220,< 0.500,2.61
ดี,88,ไม่มีแดด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,10,"1,5,9",9,ใส,28.1,8.14,45.1,29.2,6.38,1.6,1.98,86,3.8,4,< 1,22,< 0.500,1.28
ดี,87,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,8,"1,4,7",6,ใส,28.2,8.12,46.6,30.3,6.24,< 1.0,3.03,86.2,4.6,7.8,< 1,23,< 0.500,1.9
ดี,86,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,4,"1,3",4,ใส,28.8,8.12,46.1,29.8,5.91,1.2,1.19,101,4.7,< 1.8,1,11,< 0.500,4.02
ดี,85,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.6,0.3,0.6,ใส,27.45,8.13,44.72,28.83,6.08,3,2.37,88.6,1.5,70,120,210,1.02,5.09
ดี,85,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,0.6,0.3,0.6,ใส,26.8,8.16,44.94,29.04,6.14,3.6,< 1.00,87.2,1.3,49,23,14,< 0.500,4.43
ดี,84,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.2,0.6,1.2,ใส,27.89,8.04,43.81,28.23,5.46,1.5,4.87,81.8,3.6,79,62,19,< 0.500,1.56
ดี,86,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,9,"1,4.5,8",8.5,ใส,28.2,8.09,45.9,29.8,5.94,1.2,2.37,82.7,4,33,7,< 1,< 0.500,3.68
ดี,85,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,ใส,28.8,8.04,45.19,29.17,5.88,4,2.37,103,3.6,46,18,29,0.68,5.21
พอใช้,66,ไม่มีแดด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,1.2,0.6,1.2,ใส,27.9,7.93,41,28.97,5.48,2,3.03,162,10.2,1700,900,340,5.63,4.72
ดี,87,ไม่มีแดด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,12,"1,6,11",10,ใส,27.7,8.16,45.4,29.4,6.36,1.6,,90.6,1.5,33,31,7,0.56,4
ดี,85,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,1.5,0.75,0.75,ใส,27.13,8.14,46.09,29.92,5.92,2.2,1.05,85.9,13.2,17,8,8,1.02,3.2
ดี,86,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำขึ้น,6,"1,3,5",6,ใส,28.2,8.14,44.7,28.9,6.33,1.3,1.05,114,1.6,11,8,4,< 0.500,4.1
ดี,85,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำขึ้น,3,"1,2",3,ใส,28,8.16,42.7,28.3,6.39,9.5,1.71,98.6,5.8,110,108,25,< 0.500,2.47
พอใช้,78,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.6,0.3,0.6,ดำขุ่นมีตะกอน,28.3,7.92,46.7,30.3,5.11,12.2,4.61,91,3.9,330,120,320,0.58,2.78
ดี,87,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.6,0.3,0.6,ใส,27.6,8.19,43.2,27.6,6.31,4.2,2.5,88,4,< 1.8,< 1,2,< 0.500,4.03
ดี,87,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.5,0.25,0.5,ใส,27.5,8.17,44.7,28.9,6.44,2.5,2.37,90.4,7.2,49,230,96,< 0.500,2.12
เสื่อมโทรม,45,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,0.4,0.2,0,เขียวขุ่น,27.4,8.09,46.5,30.2,5.65,250,5.4,107,3.9,92000,19000,320,0.96,7.16
ดี,85,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,คลื่นน้อย,น้ำลง,4,"1,3",1.8,ใส,27.6,8.01,46.5,30.2,6.01,9.7,4.61,110,5,< 1.8,2,31,< 0.500,2.13
พอใช้,80,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,3,"1,2",1,เขียว,27,7.73,44.9,29.1,5.37,19.1,5.27,116,5.9,33,29,40,0.72,3.24
ดี,83,ไม่มีแดด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.3,0.15,-,ใส,26.6,8.19,44,28.3,6.07,21.6,1.58,94,2.2,< 1.8,2,5,< 0.500,2.28
ดี,87,แดดไม่จัด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.5,0.25,0.5,ใส,27,8.11,44.8,29,6.3,2.8,1.19,83.3,2,< 1.8,1,13,< 0.500,2.15
ดี,85,ไม่มีแดด ไม่มีฝน เมฆบางส่วน,ทะเลเรียบ,น้ำลง,0.6,0.3,0.6,ใส,27.4,8.15,44.8,29,6.19,6,2.11,109,1.3,< 1.8,2,3,< 0.500,2.99
พอใช้,76,ไม่มีแดด ไม่มีฝน มีเมฆปานกลาง,ทะเลเรียบ,น้ำลง,0.3,0.15,0.3,เขียว,27,8.06,43.7,28.2,5.87,45.8,2.77,83,5.3,490,160,70,0.75,4.29
ดี,83,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.2,0.6,1,เขียว,28.6,8.03,48.3,31.7,7.14,16.2,2.64,106,72.3,< 1.8,17,32,< 0.500,7.94
พอใช้,66,แดดไม่จัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1,0.5,1,เขียว,28.4,7.91,42.9,27.8,7.07,6.8,3.03,70,10.5,"> 160,000",78,310,0.6,8.26
ดี,82,ไม่มีแดด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,0.8,0.4,0.5,น้ำตาลอ่อน,27.2,7.88,50.6,33.3,6.25,34.2,4.22,140,10.1,4.5,4,60,0.5,5.14
ดี,87,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1.8,0.9,1.5,เขียว,28.5,7.48,42.8,27.8,6.32,2.3,1.19,89,4.5,11,4,11,0.6,6.2
